Type,PLT_S_DART,PLT_S_DART.1,Mix.type,Mix.type.OD,Solo.matchings,CLASSIFICATION,nAI.ED_NO,AI_1.Amount,AI_2.Amount,AI_3.Amount,AI_4.Amount,AI_1.Proportion,AI_2.Proportion,AI_3.Proportion,AI_4.Proportion,Density.mixture,Type.mixture,AI_1.PLT_S_DART,AI_1.ED_NO,AI_2.PLT_S_DART,AI_2.PLT_S_DART.1,AI_2.ED_NO,AI_3.PLT_S_DART,AI_3.ED_NO,AI_4.PLT_S_DART,AI_4.ED_NO,nAI.LD50.cont.24,nAI.LD50.cont.48,AI_1.LD50.cont.24,AI_1.LD50.cont.48,AI_2.LD50.cont.24,AI_2.LD50.cont.48,AI_3.LD50.cont.24,AI_3.LD50.cont.48,AI_4.LD50.cont.24,AI_4.LD50.cont.48,nAI.PRED.LD50.cont.24,nAI.PRED.LD50.cont.48,Ratio.LD50.cont.24,Ratio.LD50.cont.48,nAI.LD50.oral.24,nAI.LD50.oral.48,AI_1.LD50.oral.24,AI_1.LD50.oral.48,AI_2.LD50.oral.24,AI_2.LD50.oral.48,AI_3.LD50.oral.24,AI_3.LD50.oral.48,AI_4.LD50.oral.24,AI_4.LD50.oral.48,nAI.PRED.LD50.oral.24,nAI.PRED.LD50.oral.48,Ratio.LD50.oral.24,Ratio.LD50.oral.48
fungicide,TBZ+PCZ,TBZ+PCZ,EC (200+300),0.0,EW250 + EC450,2,NUFARM,200,300,,,0.2000,0.3000,,,1.000,,tebuconazole EW 250 G,M-182469-01-1,Sportak 450 EC ,Prochloraz 450 EC ,M-418500-01-1,-,-,-,-,n.d.,211.50,56.16,47.80,112.50,53.75,-,-,-,-,-,102.40,-,0.48,n.d.,43.09,96.80,78.80,n.a.,n.a.,-,-,-,-,-,-,-,-
fungicide,PTZ+SPX ,PTZ+SPX,EC (160 + 300),0.00,EC250 + EC500,1,M-074353-01-1,160,300,,,0.1626,0.3049,,,0.984,,prothioconazole EC 250 G,M-182441-01-1,spiroxamine EC 500 G,spiroxamine EC 500 G,M-680761-01-1,-,-,-,-,383.00,420.00,132.01,116.20,102.90,61.10,-,-,-,-,238.40,156.52,0.62,0.37,368.00,346.00,124.22,105.90,84.30,84.30,-,-,-,-,203.02,194.10,0.55,0.56
fungicide,SPX+TBZ ,SPX+TBZ,EW (250+133),0,EW250 + EC500,2,not yet in DART,250,133,,,0.2500,0.1330,,,1.000,,tebuconazole EW 250,M-182469-01-1,spiroxamine EC 500 G,spiroxamine EC 500 G,M-680761-01-1,-,-,-,-,305.00,208.00,102.90,61.10,56.12,47.76,-,-,-,-,208.36,145.42,0.68,0.70,> 100,110.0,84.30,84.30,96.80,78.80,-,-,-,-,-,214.90,-,1.95
fungicide,FXA+PTZ ,FXA+PTZ,EC (100+100),0,EC100 + EC250,1,M-080740-01-1,100,100,,,0.0877,0.0877,,,1.140,,Fluoxastrobin EC 100,M-068973-01-1,prothioconazole EC 250 G,prothioconazole EC 250 G,M-182441-01-1,-,-,-,-,268.94,248.07,37.80,29.70,132.01,116.20,-,-,-,-,335.00,269.66,1.25,1.09,> 115.93,> 115.93,34.00,25.50,124.22,105.90,-,-,-,-,-,-,-,-
fungicide,TBZ+TDL ,TBZ+TDL,EC (225+75),0.00,EW250 + EC250,2,M-278423-01-1,225,75,,,0.2250,0.0750,,,1.000,,tebuconazole EW 250 G,M-182469-01-1,triadimenol EC 250,triadimenol EC 250,M-080267-01-1,-,-,-,-,352.80,303.20,56.16,47.80,> 200,> 200,-,-,-,-,-,-,-,-,545.10,527.00,96.80,78.8,69.20,64.40,-,-,-,-,294.89,250.00,0.54,0.47
fungicide,PTZ+TBZ ,PTZ+TBZ,EC (125+125),0,EC250 + EW250,2,M-059368-01-1,125,125,,,0.1250,0.1250,,,1.000,,prothioconazole EC 250 G,M-182441-01-1,tebuconazole EW 250 G,tebuconazole EW 250 G,M-182469-01-1,-,-,-,-,n.d.,339.57,132.01,116.20,56.16,47.80,-,-,-,-,-,270.94,-,0.80,> 484.31,> 484.31,124.22,105.90,96.80,78.80,-,-,-,-,-,-,-,-
fungicide,FPD+TBZ,FPD+TBZ,EC (300+200),0,EW250 + TGAI,3,M-018696-01-1,300,200,,,0.3000,0.2000,,,1.000,,fenpropidin,Internet,tebuconazole EW 250 G,tebuconazole EW 250 G,M-182469-01-1,-,-,-,-,> 200,> 200,n.a.,47.00,56.16,47.80,-,-,-,-,-,-,-,-,203.00,193.00,n.a.,84.00,96.80,78.80,-,-,-,-,-,161.60,-,0.84
fungicide,ISY+PTZ ,ISY+PTZ,EC (50+150),0.00,EC50 + EC250,1,M-665091-01-1,50,150,,,0.0496,0.1488,,,1.008,,Isoflucypram EC 50,M-571280-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,564.50,373.30,36.80,25.70,132.03,116.22,-,-,-,-,404.04,311.47,0.72,0.83,323.70,310.90,74.8,69.1,124.25,105.92,-,-,-,-,537.39,471.09,1.66,1.52
fungicide,FXA+PTZ ,FXA+PTZ,EC (50+100),0.00,EC100 + EC250,1,M-611011-01-1,50,100,,,0.0442,0.0884,,,1.131,,Fluoxastrobin EC 100,M-068973-01-1,prothioconazole EC 250 ,prothioconazole EC 250 ,M-182441-01-1,-,-,-,-,n.d.,771.10,37.80,29.70,132.03,116.22,-,-,-,-,-,444.58,-,0.58,> 533.5,> 533.5,34.00,25.50,124.20,105.92,-,-,-,-,-,-,-,-
fungicide,ISY+PTZ ,ISY+PTZ,EC (50+100),0.00,EC50 + EC250,1,M-599934-01-1,50,100,,,0.0503,0.1005,,,0.995,,Isoflucypram EC 50,M-571280-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,> 840,785.30,36.80,25.70,132.03,116.22,-,-,-,-,-,354.60,-,0.45,> 1062.3,> 1062.3,74.80,69.10,124.25,105.92,-,-,-,-,-,-,-,-
fungicide,PTZ+TBZ+ISY ,PTZ+TBZ+ISY,EC (100+100+50),0.00,EC250 + EW250 + EC250,2,M-574908-01-1,100,100,50,,0.1001,0.1001,0.0501,,0.999,,Prothioconazole EC 250,M-182441-01-1,Tebuconazole EW 250,Tebuconazole EW 250,M-182469-01-1,Isoflucypram EC 50,M-571280-01-1,-,-,822.00,619.80,132.03,116.22,56.12,47.76,36.80,25.70,-,-,256.28,203.89,0.31,0.33,> 973.2,> 973.2,124.20,105.92,96.83,78.20,74.8,69.1,-,-,-,-,-,-
fungicide,PTZ+TBZ ,PTZ+TBZ,EC (160+80),0.00,EC250 + EW250,2,M-571907-01-1,160,80,,,0.1624,0.0812,,,0.985,,Prothioconazole EC 250,M-182441-01-1,tebuconazole EW 250 ,tebuconazole EW 250 ,M-182469-01-1,-,-,-,-,469.80,339.50,132.03,116.22,56.12,47.76,-,-,-,-,373.46,322.77,0.79,0.95,234.8,224.8,124.20,105.92,96.83,78.82,-,-,-,-,465.96,390.03,1.98,1.74
fungicide,PTZ+TBZ ,PTZ+TBZ,EC (90+160),0.00,EC250 + EW250,2,M-571888-01-1,90,160,,,0.0921,0.1638,,,0.977,,Prothioconazole EC 250,M-182441-01-1,tebuconazole EW 250 ,tebuconazole EW 250 ,M-182469-01-1,-,-,-,-,> 400,303.87,132.03,116.22,56.12,47.76,-,-,-,-,-,236.89,-,0.78,> 483.3,> 483.3,124.20,105.92,96.83,78.82,-,-,-,-,-,-,-,-
fungicide,PTZ+SPX+TBZ ,PTZ+SPX+TBZ,EC (53+224+148),0.00,EC250 + EC500 + EW250,2,M-568900-01-1,53,224,148,,0.0541,0.2288,0.1512,,0.979,,Prothioconazole EC 250,M-182441-01-1,Spiroxamine EC 500,Spiroxamine EC 500,M-680761-01-1,Tebuconazole EW 250,M-182469-01-1,-,-,n.d.,n.d.,132.03,116.20,102.90,61.10,56.12,47.76,-,-,-,-,-,-,201.70,175.70,124.20,105.92,84.30,84.30,96.83,78.82,-,-,212.26,194.43,1.05,1.11
fungicide,ISY+PTZ ,ISY+PTZ,EC (50+100),0.00,EC50 + EC250,1,M-754428-01-1 ,50,100,,,0.0504,0.1008,,,0.992,,Isoflucypram EC 50,M-571280-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,>500,207.70,36.80,25.70,132.03,116.22,-,-,-,-,-,353.53,-,1.70,881.2,881.2,74.80,69.10,124.25,105.92,-,-,-,-,673.32,594.85,0.76,0.68
fungicide,FXA+PTZ ,FXA+PTZ,EC (50+100),0,EC100 + EC250,1,M-758912-01-1,50,100,,,0.0458,0.0916,,,1.092,,Fluoxastrobin EC 100,M-068973-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,>1000,773.80,37.80,29.70,132.03,116.22,-,-,-,-,-,429.26,-,0.55,>798.4,>798.4,34.00,25.50,124.25,105.92,-,-,-,-,-,-,-,-
insecticide,DLT+TCP ,DLT+TCP,OD (10+100),1.00,EC25 + OD180,2,M-057962-01-1,10,100,,,0.0101,0.1007,,,0.993,,deltamethrin EC 25 G,M-555661-01-1,thiacloprid OD 180 G,thiacloprid OD 180 G,M-272691-01-1,-,-,-,-,5.55,5.43,0.056,0.047,13.05,11.40,-,-,-,-,5.33,4.48,0.96,0.83,20.54,21.95,0.47,0.42,10.35,10.20,-,-,-,-,31.95,29.39,1.56,1.34
insecticide,DLT+TCP ,DLT+TCP,OD (10+100),1.00,EC25 + OD180,2,M-103520-01-1,10,100,,,0.0100,0.1001,,,0.999,,deltamethrin EC 25 G,M-555661-01-1,thiacloprid OD 180 G,thiacloprid OD 180 G,M-272691-01-1,-,-,-,-,10.67,10.23,0.056,0.047,13.05,11.40,-,-,-,-,5.36,4.51,0.50,0.44,12.50,11.92,0.47,0.42,10.35,10.20,-,-,-,-,32.15,29.57,2.57,2.48
insecticide,DLT+ENS ,DLT+ENS,EC (8+320),0.00,EC25 + EC352  ,1,M-197568-01-1,8,320,,,0.0081,0.3223,,,0.993,,deltamethrin EC 25,M-555661-01-1,endosulfan EC 352 G,endosulfan EC 352 G,M-180310-01-1,-,-,-,-,2.99,n.d.,0.056,0.047,4.02,3.41,-,-,-,-,4.46,-,1.49,-,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,-,-,-,-,-,-
insecticide,DLT+TCP ,DLT+TCP,OD (20+150),1.00,EC25 + OD180,2,M-088149-01-1,20,150,,,0.0196,0.1473,,,1.018,,deltamethrin EC 25,M-555661-01-1,thiacloprid OD 180 G,thiacloprid OD 180 G,M-272691-01-1,-,-,-,-,n.d.,8.24,0.056,0.047,13.05,11.40,-,-,-,-,-,2.32,-,0.28,4.89,5.30,0.47,0.42,10.35,10.20,-,-,-,-,17.76,16.24,3.63,3.06
insecticide,DLT+IMD ,DLT+IMD,OD (10+75),1.00,EC25 + SC200,3,M-060078-01-1,10,75,,,0.0101,0.0761,,,0.986,,deltamethrin EC 25 G,M-555661-01-1,imidacloprid SC 200 G,imidacloprid SC 200 G,M-032525-01-1,-,-,-,-,2.55,2.22,0.056,0.047,0.14,0.05,-,-,-,-,1.38,0.58,0.54,0.26,2.50,2.40,0.47,0.42,> 0.03,0.02,-,-,-,-,0.39,0.25,-,0.10
insecticide,IMD+TDC ,IMD+TDC,WG (23+46),0.00,WG70 + SC380,2,M-368236-01-1,230,460,,,0.2300,0.4600,,,1.000,,imidacloprid WG 70 G,M-565548-02-1,thiodicarb SC 380 G,thiodicarb SC 380 G,M-208946-01-1 + M-208947-01-1,-,-,-,-,> 0.50431,0.28,0.37,0.18,1.67,1.67,-,-,-,-,-,0.63,-,2.25,0.34,0.24,> 0.204,0.090,0.23,0.21,-,-,-,-,-,0.21,-,0.86
insecticide,SPT+TCP ,SPT+TCP,SC (120+120),0.00,SC48 + SC480,1,M-311049-01-1,120,120,,,0.1079,0.1079,,,1.112,,Spirotetramat SC 48 ,M-281729-01-1,thiacloprid SC 480,thiacloprid SC 480,M-002098-01-1,-,-,-,-,174.60,168.70, >100, >100,> 200,> 200,-,-,-,-,-,-,-,-,10.00,10.00,153.82,140.15,9.74,8.51,-,-,-,-,84.88,74.34,8.49,7.43
insecticide,EPR+IMD ,EPR+IMD,SC (100+100),0.00,SC100 + SC200,1,M-287917-01-1,100,100,,,0.0903,0.0903,,,1.107,,ethiprole SC 100,M-214951-01-1,imidacloprid SC 200 G,imidacloprid SC 200 G,M-032525-01-1,-,-,-,-,0.64,0.29,0.07,0.06,0.137,0.054,-,-,-,-,0.50,0.31,0.78,1.05,0.29,0.26,0.03,0.03,>0.032,0.02,-,-,-,-,-,0.13,-,0.52
insecticide,FPR+IMD ,FPR+IMD,WG (40+40),0.00,WG800 + WG70,1,M-288941-01-1,400,400,,,0.4000,0.4000,,,1.000,,fipronil WG 800 W,M-256116-01-1,imidacloprid WG 70 G,imidacloprid WG 70 G,M-565548-02-1 ,-,-,-,-,> 0.05,0.03,0.05,0.02,0.37,0.18,-,-,-,-,-,0.05,-,1.71,0.03,0.02,n.a.,n.a.,> 0.204,0.090,-,-,-,-,-,-,-,-
insecticide,SPT+TCP ,SPT+TCP,OD (120+120),1.00,OD150 + OD180,1,M-310715-01-1,120,120,,,0.1168,0.1168,,,1.027,,spirotetramat OD 150 G,M-259122-01-1,thiacloprid OD 180 G,thiacloprid OD 180 G,M-272691-01-1,-,-,-,-,48.70,45.10,173.79,162.00,13.05,11.40,-,-,-,-,103.89,91.15,2.13,2.02,14.00,12.70,91.70,91.70,10.35,10.20,-,-,-,-,79.60,78.56,5.69,6.19
insecticide,IMD+SPT ,IMD+SPT,OD (120+120),1.00,SC200 + OD150,3,M-305536-01-1,120,120,,,0.1166,0.1166,,,1.029,,imidacloprid SC 200 G,M-032525-01-1,spirotetramat OD 150 G,spirotetramat OD 150 G,M-259122-01-1,-,-,-,-,6.30,3.80,0.14,0.05,173.79,162.00,-,-,-,-,1.17,0.46,0.19,0.12,0.95,0.33,>0.032,0.02,91.70,91.70,-,-,-,-,-,0.17,-,0.50
insecticide,IMD+SPT ,IMD+SPT,SC (120+120),0.00,SC200 + SC48,1,M-329608-01-1,120,120,,,0.1106,0.1106,,,1.085,,imidacloprid SC 200 G,M-032525-01-1,spirotetramat SC 48,spirotetramat SC 48,M-281729-01-1,-,-,-,-,9.00,5.10,0.137,0.054,> 100,> 100,-,-,-,-,-,-,-,-,1.02,0.63,>0.032,0.02,153.82,140.15,-,-,-,-,-,0.17,-,0.28
insecticide,FPR+IMD ,FPR+IMD,FS (180+360),0.00,TGAI + FS350,3,M-311422-01-1,180,360,,,0.1449,0.2899,,,1.242,,fipronil TC,M-181918-02-1,imidacloprid FS 350 G,imidacloprid FS 350 G,M-500305-01-1,-,-,-,-,0.46,0.08,n.d.,0.01,0.15,0.06,-,-,-,-,-,0.03,-,0.41,0.13,0.05,n.d.,0.0042,n.d.,0.054,-,-,-,-,-,0.02,-,0.55
insecticide,CTD+MTC ,CTD+MTC,FS (111+160),0.00,FS250 + FS500,1,M-355376-01-1,111,160,,,0.0979,0.1411,,,1.134,,clothianidin FS 250 G,M-359875-01-1,methiocarb FS 500 G,methiocarb FS 500 G,M-357085-01-1,-,-,-,-,0.30,0.27,0.07,0.08,0.52,0.44,-,-,-,-,0.63,0.62,2.13,2.28,0.03,0.03,0.0049,0.0049,0.11,0.11,-,-,-,-,0.05,0.05,1.64,1.67
insecticide,CTD+CYB ,CTD+CYB,FS (400+80),0.00,FS600 + TGAI,3,M-360874-01-1,400,80,,,0.3292,0.0658,,,1.215,,clothianidin FS 600,M-456670-01-1,beta-cyfluthrin TC,beta-cyfluthrin TC,M-053813-01-1,-,-,-,-,> 0.5,0.38,0.05,0.04,0.02,0.01,-,-,-,-,-,0.08,-,0.20,0.01,0.01,0.0047,0.0047,0.05,0.05,-,-,-,-,0.01,0.01,1.05,1.05
insecticide,CTD+IMD ,CTD+IMD,FS (233+233),0.00,FS250 + FS350,1,M-358047-01-1,233,233,,,0.1884,0.1884,,,1.237,,clothianidin FS 250 G,M-359875-01-1,imidacloprid FS 350,imidacloprid FS 350,M-500305-01-1,-,-,-,-,0.44,0.41,0.07,0.08,0.15,0.06,-,-,-,-,0.27,0.18,0.61,0.43,0.03,0.03,0.0049,0.0049,n.d.,0.054,-,-,-,-,-,0.02,-,0.83
insecticide,CYB+IMD ,CYB+IMD,SC (12.5+100),0,SC25 + SC200,1,M-071875-01-1,12.5,100,,,0.0116,0.0925,,,1.081,,beta-cyfluthrin SC 025,M-051896-01-1,imidacloprid SC 200 G,imidacloprid SC 200 G,M-032525-01-1,-,-,-,-,0.44,0.39,0.01,0.01,0.14,0.05,-,-,-,-,0.43,0.28,0.97,0.71,3.07,2.31,0.17,0.13,>0.032,0.02,-,-,-,-,-,0.20,-,0.09
insecticide,IMD+MDP ,IMD+MDP,SL (30+500),0,SL200 + SL530,1,M-041366-01-1,30,500,,,0.0244,0.4075,,,1.227,,imidacloprid SL 200 G,M-084112-01-1,methamidophos SL 530,methamidophos SL 530,M-041366-01-1,-,-,-,-,0.48,0.39,0.01,0.01,0.25,0.21,-,-,-,-,0.19,0.16,0.40,0.40,0.46,0.45,0.06,0.04,0.24,0.24,-,-,-,-,0.48,0.44,1.05,0.97
insecticide,CTD TC + MTC TC,CTDTC+MTCTC,TGAI + TGAI,0.00,TGAI + TGAI,1,M-308058-01-1,625,375,,,0.6250,0.3750,,,1.000,,clothianidin TC,M-307244-01-1,methiocarb TC,methiocarb TC,M-308072-01-1,-,-,-,-,0.042,0.034,0.050,0.039,0.49,0.43,-,-,-,-,0.08,0.06,1.81,1.76,0.0029,0.0029,0.0025,0.0025,0.08,0.08,-,-,-,-,0.0039,0.0039,1.35,1.35
insecticide,CTD+IMD,CTD+IMD,FS (360+240),0.00,FS250 + FS350,1,M-388246-01-1,360,240,,,0.2850,0.1900,,,1.263,,clothianidin FS 250 G,M-359875-01-1,imidacloprid FS 350,imidacloprid FS 350,M-500305-01-1,-,-,-,-,0.18,0.14,0.07,0.08,0.15,0.06,-,-,-,-,0.20,0.14,1.08,1.07,0.03,0.03,0.0049,0.0049,n.d.,0.054,-,-,-,-,-,0.016,-,0.62
insecticide,CTD+CYB,CTD+CYB,FS (100+80),0.00,FS250 + TGAI,3,M-388700-01-1,100,80,,,0.0940,0.0752,,,1.064,,clothianidin FS 250 G,M-359875-01-1,beta-cyfluthrin TC,beta-cyfluthrin TC,M-053813-01-1,-,-,-,-,0.40,0.29,0.07,0.08,0.02,0.01,-,-,-,-,0.21,0.13,0.52,0.46,0.02,0.02,0.0049,0.0049,0.05,0.05,-,-,-,-,0.05,0.05,3.29,3.29
